${case},${username},${password},${is_ok}
valid_admin,admin,admin,True
upper_admin,ADMIN,ADMIN,False
mixed_user_1,Admin,admin,False
mixed_pass_1,admin,Admin,False
mixed_both,Admin,Admin,False
mixed_random,adMin,adMin,False
wrong_pass,admin,wrong,False
wrong_user,wrong,admin,False
wrong_both,wrong,wrong,False
numbers_both,admin123,admin123,False
numbers_pass,admin,admin123,False
numbers_user,admin123,admin,False
diacritics,admiń,admiń,False
jp_chars,アドミン,アドミン,False
special_at,@dmin,@dmin,False
dot_only,.,.,False
question_marks,?,?,False
empty_both,${EMPTY},${EMPTY},False
space_both,${SPACE},${SPACE},False
